path,task,repr,model,run,split,metric,value
raw/hemolysis/cnn_smiles/val_predictions.csv,hemolysis,smiles,cnn,cnn_smiles,val,accuracy,0.75
raw/hemolysis/cnn_smiles/val_predictions.csv,hemolysis,smiles,cnn,cnn_smiles,val,auprc,0.6637078181284506
raw/hemolysis/cnn_smiles/val_predictions.csv,hemolysis,smiles,cnn,cnn_smiles,val,f1,0.8288288288288289
raw/hemolysis/cnn_smiles/val_predictions.csv,hemolysis,smiles,cnn,cnn_smiles,val,mcc,0.40108184613559994
raw/hemolysis/cnn_smiles/val_predictions.csv,hemolysis,smiles,cnn,cnn_smiles,val,roc_auc,0.214880198613703
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,train,accuracy,0.7604938271604939
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,train,auprc,0.6254703668678987
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,train,f1,0.8346590909090909
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,train,mcc,0.42064223196272577
raw/hemolysis/enet_gpu_smiles/train_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,train,roc_auc,0.203876193630292
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,val,accuracy,0.7162828947368421
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,val,auprc,0.6887647514315153
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,val,f1,0.8058525604952167
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,val,mcc,0.3113804928674647
raw/hemolysis/enet_gpu_smiles/val_predictions.csv,hemolysis,smiles,enet_gpu,enet_gpu_smiles,val,roc_auc,0.28678185817115437
raw/hemolysis/mlp_smiles/val_predictions.csv,hemolysis,smiles,mlp,mlp_smiles,val,accuracy,0.7713815789473685
raw/hemolysis/mlp_smiles/val_predictions.csv,hemolysis,smiles,mlp,mlp_smiles,val,auprc,0.6655061700137873
raw/hemolysis/mlp_smiles/val_predictions.csv,hemolysis,smiles,mlp,mlp_smiles,val,f1,0.8502155172413792
raw/hemolysis/mlp_smiles/val_predictions.csv,hemolysis,smiles,mlp,mlp_smiles,val,mcc,0.37757014657795174
raw/hemolysis/mlp_smiles/val_predictions.csv,hemolysis,smiles,mlp,mlp_smiles,val,roc_auc,0.2283099506798187
raw/hemolysis/svm_gpu_smiles/val_predictions.csv,hemolysis,smiles,svm_gpu,svm_gpu_smiles,val,accuracy,0.7055921052631579
raw/hemolysis/svm_gpu_smiles/val_predictions.csv,hemolysis,smiles,svm_gpu,svm_gpu_smiles,val,auprc,0.6743643837749886
raw/hemolysis/svm_gpu_smiles/val_predictions.csv,hemolysis,smiles,svm_gpu,svm_gpu_smiles,val,f1,0.7935409457900807
raw/hemolysis/svm_gpu_smiles/val_predictions.csv,hemolysis,smiles,svm_gpu,svm_gpu_smiles,val,mcc,0.3306645830621397
raw/hemolysis/svm_gpu_smiles/val_predictions.csv,hemolysis,smiles,svm_gpu,svm_gpu_smiles,val,roc_auc,0.2541697214076246
raw/hemolysis/transformer_smiles/train_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,train,accuracy,0.7940329218106996
raw/hemolysis/transformer_smiles/train_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,train,auprc,0.6103869342123113
raw/hemolysis/transformer_smiles/train_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,train,f1,0.8622161046111494
raw/hemolysis/transformer_smiles/train_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,train,mcc,0.46110257616084055
raw/hemolysis/transformer_smiles/train_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,train,roc_auc,0.16836977773129627
raw/hemolysis/transformer_smiles/val_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,val,accuracy,0.756578947368421
raw/hemolysis/transformer_smiles/val_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,val,auprc,0.6778684562447708
raw/hemolysis/transformer_smiles/val_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,val,f1,0.8394793926247287
raw/hemolysis/transformer_smiles/val_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,val,mcc,0.3486064612428071
raw/hemolysis/transformer_smiles/val_predictions.csv,hemolysis,smiles,transformer,transformer_smiles,val,roc_auc,0.26053469074913355
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,smiles,xgb,xgb_smiles,train,accuracy,0.8703703703703703
raw/hemolysis/xgb_smiles/train_predictions.csv,hemolysis,smiles,xgb,xgb_smiles,train,auprc,0.58174475848776
